feature,importance_mean,importance_std
PrecipSum_Jun,0.08023294927650451,0.009150343446954845
SoilMoisture_AprJun,0.07329435817022911,0.014407440844469203
Median_Tmax_Apr,0.056457161068933615,0.009737411832395418
Median_Tmin_Apr,0.053742315979933064,0.017899270728647672
Median_Tmin_Jun,0.05187096254498925,0.0037395802529495573
Median_Tmax_Jun,0.05069075453957509,0.008505498167135469
GDD_03_06,0.04904111500477244,0.007256037599118144
SoilMoistureAnom_AprJun,0.0453840465669045,0.008628966006161093
RainyDays_>=1mm_Season,0.044318039559228174,0.006272789024980895
Median_Tmax_Mar,0.041907823106129775,0.006953969046691666
NDVI_Jun,0.04146985810173962,0.005482515557932534
Median_Tmax_May,0.04144446498945374,0.015528242589919763
HeatDays_>27C_05_06,0.03787834472741599,0.005720001002652938
PrecipSum_Mar,0.03780028579725708,0.004936442080780281
Median_Tmin_May,0.03754802972865566,0.005771368527875877
NDVI_integral,0.03440733468058196,0.0021297148414681118
NDVI_peak_month,0.034100503279045166,0.006642927158893495
PrecipSum_May,0.03362915090582719,0.004207319940909051
NDVI_May,0.03290751044946445,0.0047987418676063
Median_Tmin_Mar,0.03264403753234058,0.006769565682806885
PrecipSum_Apr,0.03253072495531586,0.004298184688661861
NDVI_Apr,0.029467312402166622,0.0028463580856014224
NDVI_peak,0.02723291663353664,0.0021284963347660726
